model_class,acc,kwargs
SVMClassifier,0.766109785202864,"{'kernel': 'poly', 'degree': 1}"
SVMClassifier,0.6992840095465394,"{'kernel': 'poly', 'degree': 2}"
SVMClassifier,0.766109785202864,"{'kernel': 'poly', 'degree': 1}"
SVMClassifier,0.6992840095465394,"{'kernel': 'poly', 'degree': 2}"
TabRClassifier,0.5835322195704057,"{'d_main': 12, 'd_multiplier': 1.5, 'seed': 42}"
TabRClassifier,0.5823389021479713,"{'d_main': 12, 'd_multiplier': 2, 'seed': 42}"
TabRClassifier,0.6085918854415274,"{'d_main': 36, 'd_multiplier': 1.5, 'seed': 42}"
TabRClassifier,0.6014319809069213,"{'d_main': 36, 'd_multiplier': 2, 'seed': 42}"
XGBClassifier,0.8460620525059666,"{'max_depth': 3, 'min_child_weight': 1}"
XGBClassifier,0.834128878281623,"{'max_depth': 3, 'min_child_weight': 4}"
XGBClassifier,0.8460620525059666,"{'max_depth': 6, 'min_child_weight': 1}"
XGBClassifier,0.847255369928401,"{'max_depth': 6, 'min_child_weight': 4}"
SVMClassifier,nan,"{'kernel': 'poly', 'degree': 1}"
SVMClassifier,0.6992840095465394,"{'kernel': 'poly', 'degree': 2}"
SVMClassifier,0.766109785202864,"{'kernel': 'poly', 'degree': 1}"
